query_id,config_top_k,config_threshold,config_temperature,config_response_mode,map_score,mrr_score,correctness,relevancy,faithfulness,bleu_score,total_time
f2aa0c49,5,0.35,0.1,compact,0.8875,1.0,5.0,1.0,1.0,0.7977240352174656,1.2943170070648193
63e2a964,5,0.35,0.1,compact,0.8666666666666667,1.0,3.0,1.0,0.0,0.33933982252531925,2.2513370513916016
d1440325,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.5363740921020508
44d5b178,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6395888328552246
347708ad,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.2186758518218994
2e49387e,5,0.35,0.1,compact,1.0,1.0,5.0,1.0,0.0,0.7523736213252469,1.752370834350586
93940125,5,0.35,0.1,compact,1.0,1.0,4.0,1.0,1.0,0.15899968200095402,2.74337100982666
f1ac1852,5,0.35,0.1,compact,0.25,0.25,5.0,1.0,1.0,0.0790569415042095,2.1693007946014404
849d3361,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,2.145871877670288
ca450431,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.2537081317024625,2.0512139797210693
00bdad3f,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.3324549831021843,1.839026927947998
3b06dd93,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,3.891754150390625
ba3790fa,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.8451542547285166,4.301587104797363
65d98c76,5,0.35,0.5,compact,0.8875,1.0,5.0,1.0,1.0,0.43837575820390956,4.13863205909729
03a533a3,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6283321380615234
67fabf7a,5,0.35,0.5,compact,1.0,1.0,4.0,1.0,0.0,0.32845004014859225,2.864717960357666
841e8920,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.08735569725619073,3.5306031703948975
d42eca7d,5,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.5194624816493197,2.102660894393921
f6d4e2a5,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.2184042930603027
209d67b9,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.5345759391784668
f2aa0c49,5,0.35,0.5,compact,0.8875,1.0,5.0,1.0,1.0,0.7977240352174656,1.7010629177093506
63e2a964,5,0.35,0.5,compact,0.8666666666666667,1.0,3.0,1.0,0.0,0.2867255455335964,2.602168083190918
d1440325,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.600203037261963
44d5b178,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.7003629207611084
347708ad,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,1.0,0.8370455349335584,1.2276442050933838
2e49387e,5,0.35,0.5,compact,1.0,1.0,5.0,1.0,0.0,0.9226731585863749,2.353283166885376
93940125,5,0.35,0.5,compact,1.0,1.0,4.0,1.0,1.0,0.19144997113505133,2.4200661182403564
f1ac1852,5,0.35,0.5,compact,0.25,0.25,5.0,1.0,1.0,0.08845119042031589,1.6761729717254639
849d3361,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.6030938625335693
ca450431,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.20504156174308186,1.9800159931182861
00bdad3f,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,0.35043832202523123,2.0854029655456543
3b06dd93,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.269385814666748
ba3790fa,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.8451542547285166,1.7150273323059082
65d98c76,5,0.5,0.0,compact,0.8875,1.0,5.0,1.0,1.0,0.43837575820390956,1.9596920013427734
03a533a3,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,1.0,1.2988741397857666
67fabf7a,5,0.5,0.0,compact,1.0,1.0,4.0,1.0,0.0,0.32845004014859225,2.727617025375366
841e8920,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,1.0,0.08667996778807889,4.43323016166687
d42eca7d,5,0.5,0.0,compact,1.0,1.0,4.0,1.0,1.0,0.5052279240652235,1.4726459980010986
f6d4e2a5,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.790583848953247
209d67b9,5,0.5,0.0,compact,1.0,1.0,5.0,1.0,0.0,1.0,1.162654161453247
